ID,City,Lat,Lng,Cloudiness,Wind Speed,Humidity,Max Temp,Country,Date
149,lisakovsk,52.54,62.49,99,0.94,79,68.67,KZ,1595202567
150,ahipara,-35.17,173.17,66,4.38,77,63.07,NZ,1595202567
151,manavgat,36.79,31.44,0,1.68,88,77.0,TR,1595202567
152,aparecida,-22.85,-45.23,0,1.12,69,59.4,BR,1595202567
153,bengkulu,-3.8,102.27,40,4.85,90,75.76,ID,1595202567
154,rovaniemi,66.5,25.72,83,10.29,77,59.0,FI,1595202567
155,pevek,69.7,170.31,0,5.28,58,47.25,RU,1595202343
156,codrington,-38.27,141.97,65,15.48,74,52.34,AU,1595202567
157,loiza,18.43,-65.88,40,13.87,70,84.2,PR,1595202568
158,jijiga,9.35,42.8,54,21.88,78,60.57,ET,1595202568
159,the pas,53.83,-101.25,1,5.82,40,73.4,CA,1595202568
160,laguna,38.42,-121.42,1,13.87,31,90.0,US,1595202355
161,znamenka,52.42,41.43,0,5.73,92,57.06,RU,1595202568
162,lumberton,34.62,-79.01,1,5.82,66,93.2,US,1595202303
163,new norfolk,-42.78,147.06,69,3.0,81,46.0,AU,1595202568
164,namibe,-15.2,12.15,0,5.28,70,67.01,AO,1595202569
165,levin,-40.63,175.28,55,4.36,86,60.01,NZ,1595202569
166,saskylakh,71.92,114.08,31,10.65,62,59.5,RU,1595202569
167,haringhata,22.95,88.57,75,8.05,89,84.2,IN,1595202569
168,chiang rai,19.91,99.83,100,1.12,94,77.0,TH,1595202569
169,pacific grove,36.62,-121.92,1,12.75,64,71.01,US,1595202569
170,hay river,60.82,-115.8,75,9.17,72,68.0,CA,1595202569
171,ciudad bolivar,8.12,-63.55,85,8.7,79,80.37,VE,1595202569
172,pangai,-19.8,-174.35,75,16.11,88,71.6,TO,1595202570
173,okhotsk,59.38,143.3,74,7.18,81,60.8,RU,1595202356
174,la ronge,55.1,-105.28,75,6.93,72,66.2,CA,1595202570
175,pierre,44.37,-100.35,75,10.29,41,79.0,US,1595202570
176,arosa,46.78,9.68,68,2.24,100,59.0,CH,1595202570
177,lahat,-3.8,103.53,31,1.9,90,72.88,ID,1595202570
178,westport,41.14,-73.36,1,9.17,62,84.2,US,1595202570
179,maua,-23.67,-46.46,8,5.82,68,66.99,BR,1595202571
180,hualmay,-11.1,-77.61,40,9.57,85,60.08,PE,1595202592
181,zambezi,-13.54,23.1,1,7.83,60,52.16,ZM,1595202592
182,niquelandia,-14.47,-48.46,3,5.35,52,68.22,BR,1595202592
183,placer,39.07,-120.77,3,3.0,31,93.0,US,1595202592
184,longyearbyen,78.22,15.64,75,12.75,87,44.6,SJ,1595202592
185,barsovo,61.17,73.17,75,11.18,100,59.0,RU,1595202592
186,khatanga,71.97,102.5,98,2.68,77,51.78,RU,1595202593
187,los llanos de aridane,28.66,-17.92,0,16.11,83,77.0,ES,1595202547
188,riohacha,11.54,-72.91,77,11.59,72,83.71,CO,1595202470
189,mayumba,-3.43,10.66,27,4.63,92,70.12,GA,1595202593
190,bay roberts,47.6,-53.26,35,9.33,60,64.99,CA,1595202593
191,upernavik,72.79,-56.15,59,7.65,54,49.03,GL,1595202593
192,kharp,66.8,65.81,44,5.57,67,53.49,RU,1595202593
193,kargala,56.62,83.96,79,3.94,95,65.21,RU,1595202594
194,tieli,46.95,128.05,100,5.97,93,62.87,CN,1595202594
195,tiarei,-17.53,-149.33,75,5.82,61,82.4,PF,1595202357
196,torbay,47.67,-52.73,20,13.87,60,68.0,CA,1595202304
197,opuwo,-18.06,13.84,0,9.51,43,52.61,NA,1595202594
198,mehamn,71.04,27.85,100,5.1,84,52.16,NO,1595202506
199,tsiroanomandidy,-18.77,46.03,0,3.04,76,50.25,MG,1595202594
200,thompson,55.74,-97.86,75,4.7,44,75.2,CA,1595202321
201,nome,64.5,-165.41,75,8.05,54,59.0,US,1595202595
202,asau,46.43,26.4,100,2.71,97,60.01,RO,1595202595
203,mitsamiouli,-11.38,43.28,43,12.57,66,76.93,KM,1595202595
204,castro,-24.79,-50.01,18,3.8,91,57.25,BR,1595202595
205,vila franca do campo,37.72,-25.43,75,5.82,68,69.8,PT,1595202595
206,lompoc,34.64,-120.46,5,18.34,64,69.01,US,1595202539
207,yerofey pavlovich,53.97,121.97,66,10.33,91,64.13,RU,1595202596
208,ribeira grande,38.52,-28.7,72,3.53,76,69.19,PT,1595202596
209,hofn,64.25,-15.21,59,5.26,62,54.34,IS,1595202596
210,eyl,7.98,49.82,93,24.05,64,78.75,SO,1595202596
211,rupea,46.03,25.22,100,3.0,93,60.01,RO,1595202596
212,gaoual,11.75,-13.2,98,3.44,94,73.22,GN,1595202596
213,dunedin,-45.87,170.5,72,8.01,72,46.99,NZ,1595202355
214,murray bridge,-35.12,139.27,54,4.0,87,52.0,AU,1595202596
215,derzhavinsk,51.1,66.32,9,6.49,53,69.55,KZ,1595202597
216,portland,45.52,-122.68,20,8.05,33,91.0,US,1595202403
217,nizhniy baskunchak,48.22,46.83,40,11.59,42,75.63,RU,1595202597
218,pangnirtung,66.15,-65.71,100,2.13,57,56.98,CA,1595202597
219,alta floresta,-9.88,-56.09,64,4.25,42,77.23,BR,1595202597
220,kerrobert,51.92,-109.13,75,8.05,68,68.0,CA,1595202598
221,abilene,32.45,-99.73,1,10.29,32,97.0,US,1595202598
222,ryotsu,38.08,138.43,100,6.93,88,75.2,JP,1595202598
223,kaeo,-35.1,173.78,75,3.0,3,61.0,NZ,1595202598
224,half moon bay,37.46,-122.43,90,5.82,82,75.99,US,1595202598
225,coihaique,-45.58,-72.07,90,4.7,100,33.8,CL,1595202556
226,luganville,-15.53,167.17,75,4.7,69,75.2,VU,1595202598
227,lugovoy,42.95,72.76,84,10.29,29,76.08,KZ,1595202598
228,marsa matruh,31.35,27.25,0,7.76,80,74.97,EG,1595202599
229,del rio,29.36,-100.9,20,16.11,31,100.4,US,1595202599
230,bodden town,19.28,-81.25,40,8.41,79,86.0,KY,1595202339
231,yangambi,0.81,24.43,100,1.14,71,71.15,CD,1595202599
232,huadian,42.96,126.75,100,5.39,93,66.6,CN,1595202599
233,filingue,14.35,3.32,3,10.65,41,88.43,NE,1595202599
234,kutum,14.2,24.67,95,11.3,62,74.68,SD,1595202430
235,belgrade,44.8,20.47,40,3.36,77,64.4,RS,1595202600
236,marawi,8.0,124.29,89,3.0,84,78.01,PH,1595202600
237,guarapari,-20.67,-40.5,7,3.36,88,69.8,BR,1595202368
238,stornoway,58.21,-6.39,9,4.7,93,51.01,GB,1595202600
239,kapit,2.02,112.93,99,0.51,93,75.9,MY,1595202600
240,saldanha,-33.01,17.94,0,4.7,87,48.2,ZA,1595202600
241,seattle,47.61,-122.33,75,6.93,44,82.99,US,1595202372
242,bundaberg,-24.85,152.35,0,3.36,59,64.4,AU,1595202601
243,goias,-15.58,-49.64,2,4.76,47,66.67,BR,1595202601
244,huaicheng,23.91,112.19,95,1.32,85,81.07,CN,1595202601
245,kumeny,58.11,49.92,100,11.79,92,59.54,RU,1595202601
246,aklavik,68.22,-135.01,75,5.82,76,48.2,CA,1595202433
247,airai,-8.93,125.41,17,3.02,52,63.59,TL,1595202601
248,dong hoi,17.48,106.6,100,5.06,70,84.72,VN,1595202602
249,makarska,43.3,17.02,0,2.24,60,68.0,HR,1595202333
250,nagua,19.38,-69.85,40,7.83,94,80.6,DO,1595202602
251,providencia,28.72,-111.58,64,11.99,43,99.0,MX,1595202602
252,ixtapa,20.7,-105.2,40,9.17,79,87.01,MX,1595202602
253,rossano,39.58,16.63,22,3.67,72,68.0,IT,1595202603
254,atar,20.52,-13.05,77,15.79,30,94.71,MR,1595202585
255,tiksi,71.69,128.87,14,10.04,54,63.1,RU,1595202603
256,jalu,29.03,21.55,30,12.24,41,79.74,LY,1595202603
257,eureka,40.8,-124.16,12,5.01,80,66.99,US,1595202427
258,verkhnyaya sinyachikha,57.98,61.67,100,7.25,94,62.76,RU,1595202603
259,sur,22.57,59.53,53,12.39,73,85.82,OM,1595202343
260,avera,33.19,-82.53,1,5.82,41,95.0,US,1595202604
261,rapid valley,44.06,-103.15,75,12.75,42,80.6,US,1595202604
262,kibala,9.11,18.35,99,2.64,96,70.83,TD,1595202604
263,bonavista,48.65,-53.11,61,1.34,78,59.67,CA,1595202604
